Age,Gender,Income,Education_Level,Travel_Frequency,Preferred_Activities,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Favorite_Season,Pets,Environmental_Concerns,Preference
22.0,male,67556,bachelor,8,sunbathing,3069,rural,180.0,58,spring,0,1,0
48.0,male,48885,,2,sunbathing,3414,suburban,172.0,70,fall,0,1,0
68.0,male,27766,high school,5,hiking,1040,rural,254.0,4,fall,1,0,0
30.0,non-binary,33964,high school,7,skiing,2668,suburban,283.0,199,summer,1,1,0
60.0,non-binary,105934,master,1,skiing,4860,urban,247.0,267,spring,1,1,1
18.0,female,81740,master,0,skiing,1679,urban,,216,summer,1,1,0
39.0,non-binary,41353,doctorate,5,hiking,3268,rural,209.0,103,spring,1,1,0
32.0,non-binary,103201,doctorate,5,hiking,541,rural,204.0,64,summer,1,0,0
43.0,non-binary,42920,master,8,skiing,1309,suburban,37.0,10,spring,1,0,0
35.0,female,52405,bachelor,4,skiing,2576,urban,80.0,207,winter,1,1,1
65.0,female,106419,master,2,sunbathing,2850,rural,121.0,92,winter,1,1,0
26.0,female,41244,bachelor,4,skiing,1200,suburban,29.0,234,winter,1,0,1
18.0,female,106203,high school,6,skiing,3877,suburban,30.0,62,summer,0,1,1
60.0,male,47274,doctorate,1,swimming,2803,suburban,258.0,130,spring,0,1,0
26.0,female,68756,master,7,skiing,1133,urban,41.0,46,summer,0,1,1
40.0,female,49031,master,3,skiing,4540,suburban,228.0,282,fall,0,1,1
,male,67380,bachelor,1,hiking,3706,suburban,263.0,231,spring,0,0,0
62.0,male,102641,doctorate,6,skiing,2619,suburban,100.0,214,summer,1,0,1
19.0,non-binary,80097,doctorate,5,sunbathing,761,rural,27.0,63,fall,0,1,0
31.0,non-binary,60500,master,6,swimming,2999,urban,141.0,217,fall,0,1,0
55.0,female,83971,bachelor,6,hiking,4811,rural,222.0,9,fall,1,0,0
57.0,non-binary,92412,bachelor,3,sunbathing,2916,rural,55.0,294,winter,1,0,0
35.0,male,91025,high school,5,swimming,2996,urban,145.0,31,winter,0,0,0
33.0,non-binary,44343,master,0,skiing,908,urban,85.0,191,spring,1,0,1
46.0,non-binary,31614,doctorate,0,sunbathing,1031,urban,146.0,262,winter,1,1,0
61.0,female,117433,bachelor,1,skiing,2647,urban,4.0,145,fall,1,0,1
28.0,male,37606,doctorate,4,skiing,774,rural,71.0,185,winter,0,0,1
,male,37315,master,6,skiing,4171,urban,21.0,281,summer,0,0,1
20.0,non-binary,39236,high school,7,hiking,3297,rural,44.0,205,winter,0,1,1
31.0,non-binary,25265,master,0,sunbathing,982,suburban,100.0,151,fall,1,0,0
19.0,non-binary,78522,bachelor,7,skiing,2575,urban,160.0,143,spring,1,0,0
49.0,female,65129,doctorate,9,sunbathing,1071,suburban,73.0,213,spring,0,0,0
48.0,non-binary,38152,doctorate,0,hiking,1711,rural,,40,spring,1,0,1
28.0,non-binary,119422,master,9,sunbathing,1921,suburban,66.0,90,spring,1,1,0
39.0,female,96111,bachelor,7,hiking,3021,rural,228.0,286,spring,1,0,1
20.0,male,95026,bachelor,0,hiking,2108,urban,278.0,208,fall,0,0,0
67.0,female,46096,doctorate,6,hiking,2126,urban,237.0,37,spring,1,1,0
48.0,non-binary,111964,high school,1,skiing,4858,suburban,,233,winter,1,0,1
50.0,non-binary,114085,master,1,skiing,967,suburban,35.0,244,fall,1,0,1
41.0,male,60015,doctorate,1,swimming,3377,rural,198.0,150,fall,1,0,0
18.0,female,95884,master,5,hiking,2503,rural,165.0,139,winter,0,1,0
61.0,non-binary,46115,doctorate,2,sunbathing,3079,urban,298.0,57,fall,1,0,0
32.0,male,76443,bachelor,1,skiing,4359,suburban,38.0,55,summer,1,0,1
54.0,non-binary,60947,high school,3,sunbathing,2193,urban,259.0,266,winter,0,1,0
44.0,male,89256,bachelor,7,swimming,3742,rural,280.0,26,winter,0,1,0
,non-binary,118584,high school,1,hiking,1538,urban,212.0,119,winter,1,1,0
65.0,non-binary,117686,master,9,skiing,4789,rural,219.0,55,spring,1,0,0
44.0,male,101976,bachelor,4,swimming,3527,suburban,216.0,72,winter,0,1,0
61.0,male,42852,bachelor,0,skiing,2510,rural,121.0,197,summer,1,1,1
29.0,non-binary,85049,doctorate,8,skiing,3240,rural,42.0,221,spring,0,1,1
20.0,male,36474,doctorate,8,skiing,2215,urban,121.0,90,winter,1,0,0
,non-binary,20003,bachelor,5,hiking,4073,rural,33.0,163,fall,1,1,1
,non-binary,94260,doctorate,5,hiking,621,suburban,76.0,178,fall,1,1,1
40.0,female,118200,master,7,sunbathing,3182,urban,234.0,193,fall,0,1,0
19.0,non-binary,109546,master,3,hiking,1842,rural,104.0,70,winter,0,1,0
24.0,non-binary,94142,high school,4,hiking,3810,suburban,298.0,64,winter,0,1,0
51.0,male,58096,high school,9,skiing,4674,urban,255.0,7,summer,1,1,0
49.0,female,28454,doctorate,9,sunbathing,2286,suburban,233.0,42,summer,0,1,0
56.0,male,94472,doctorate,4,swimming,4658,urban,267.0,2,fall,1,0,0
49.0,male,42128,master,0,swimming,1192,suburban,,261,summer,1,1,0
60.0,non-binary,59026,doctorate,3,swimming,4409,rural,239.0,34,fall,1,0,0
60.0,non-binary,116652,bachelor,2,hiking,1503,suburban,26.0,44,fall,0,1,1
31.0,non-binary,20310,master,6,swimming,2635,rural,218.0,242,summer,1,1,0
20.0,male,110718,high school,3,sunbathing,3249,rural,275.0,134,summer,0,1,0
63.0,male,42211,master,7,swimming,3989,suburban,218.0,5,summer,1,1,0
49.0,non-binary,46120,doctorate,2,skiing,2809,rural,108.0,13,spring,1,1,0
60.0,male,52876,doctorate,9,skiing,4903,rural,64.0,249,fall,0,0,1
53.0,female,108535,high school,1,hiking,4724,suburban,274.0,209,summer,0,0,0
34.0,female,57993,master,3,sunbathing,2754,urban,181.0,108,summer,0,1,0
65.0,female,31715,,8,skiing,3480,rural,30.0,44,summer,1,1,1
,male,89692,master,6,sunbathing,4973,suburban,239.0,214,winter,1,1,0
27.0,female,112226,master,2,skiing,3227,rural,278.0,224,spring,1,0,0
64.0,non-binary,81812,doctorate,3,hiking,2775,urban,182.0,181,winter,0,1,0
57.0,non-binary,22294,master,2,hiking,4540,suburban,214.0,59,summer,1,0,0
35.0,non-binary,68565,master,3,skiing,974,rural,59.0,217,summer,1,1,1
20.0,female,47548,bachelor,0,skiing,1577,urban,22.0,267,summer,1,1,1
56.0,female,68404,doctorate,0,skiing,4563,rural,249.0,266,spring,0,1,1
27.0,male,75563,master,5,skiing,1788,suburban,127.0,280,spring,1,1,1
69.0,non-binary,85873,master,9,skiing,3567,rural,99.0,221,fall,1,0,1
,male,81206,doctorate,6,swimming,1763,rural,299.0,277,winter,0,0,0
63.0,female,36996,bachelor,8,sunbathing,4520,urban,94.0,194,fall,0,0,0
63.0,male,27795,high school,0,hiking,3458,urban,113.0,173,spring,1,1,1
28.0,non-binary,104731,master,7,swimming,3959,rural,17.0,172,fall,0,0,0
50.0,male,83902,master,8,hiking,1538,urban,38.0,294,spring,0,0,1
53.0,male,26923,master,9,skiing,2457,rural,28.0,76,summer,0,1,1
43.0,female,55503,high school,5,skiing,4493,suburban,92.0,137,winter,1,1,1
44.0,female,30773,high school,3,hiking,3460,rural,227.0,256,winter,1,1,1
,female,105939,doctorate,4,swimming,503,rural,208.0,168,summer,0,0,0
,female,45092,high school,0,swimming,1884,rural,179.0,282,summer,1,0,0
,non-binary,117015,high school,0,swimming,2147,urban,187.0,185,fall,1,1,0
39.0,non-binary,38515,doctorate,0,hiking,1544,rural,32.0,148,spring,1,1,1
22.0,male,68073,master,4,sunbathing,4208,rural,239.0,82,spring,1,1,0
52.0,non-binary,117342,high school,4,swimming,2372,suburban,,0,summer,0,0,0
19.0,male,49899,doctorate,6,sunbathing,1919,urban,,252,spring,1,0,0
,female,64293,doctorate,3,hiking,3189,suburban,204.0,119,summer,0,0,0
26.0,male,75766,high school,9,swimming,4601,suburban,164.0,28,fall,1,0,0
68.0,male,77407,high school,9,sunbathing,3544,urban,12.0,243,winter,0,1,0
68.0,non-binary,73049,master,8,skiing,861,suburban,99.0,142,spring,0,1,1
66.0,male,22301,bachelor,7,hiking,3357,rural,24.0,104,winter,0,0,1
35.0,non-binary,91064,doctorate,3,hiking,2846,urban,131.0,153,fall,0,1,1
60.0,male,76372,master,8,hiking,4761,rural,89.0,118,summer,0,1,1
29.0,non-binary,36767,doctorate,9,hiking,2486,suburban,209.0,166,fall,0,1,0
20.0,female,50817,bachelor,7,swimming,2849,urban,9.0,113,spring,1,1,0
35.0,non-binary,61084,doctorate,0,hiking,2971,suburban,110.0,247,fall,0,1,1
55.0,female,83591,bachelor,2,sunbathing,1128,urban,142.0,252,summer,0,0,0
24.0,non-binary,104499,bachelor,2,sunbathing,4457,suburban,177.0,291,fall,1,1,0
50.0,female,105992,bachelor,6,sunbathing,4259,urban,170.0,251,fall,0,0,0
23.0,female,26786,high school,6,sunbathing,3485,suburban,97.0,9,summer,1,0,0
35.0,non-binary,98271,high school,0,swimming,1176,suburban,62.0,194,summer,0,1,0
62.0,female,29094,doctorate,7,hiking,1500,rural,135.0,30,fall,0,0,0
39.0,male,106274,doctorate,7,skiing,1606,urban,241.0,158,fall,1,1,0
68.0,male,75210,doctorate,4,swimming,3413,urban,278.0,72,winter,1,1,0
56.0,female,38667,doctorate,6,hiking,3722,urban,70.0,248,spring,0,1,1
68.0,female,80803,bachelor,2,swimming,3956,rural,221.0,21,summer,1,0,0
26.0,female,81601,high school,9,hiking,2666,rural,138.0,152,summer,0,0,1
52.0,non-binary,101733,master,9,hiking,4474,urban,29.0,247,winter,1,0,1
40.0,male,90399,master,8,swimming,3159,suburban,160.0,26,winter,0,1,0
29.0,female,69577,high school,3,hiking,2263,rural,204.0,126,fall,1,0,0
69.0,female,29667,master,2,hiking,3394,suburban,7.0,20,spring,1,0,1
,non-binary,28331,bachelor,9,swimming,3526,suburban,290.0,56,winter,1,1,0
67.0,male,75858,bachelor,3,sunbathing,1546,suburban,131.0,142,spring,0,1,0
57.0,female,116340,doctorate,8,hiking,1282,urban,101.0,4,fall,1,0,0
26.0,male,30350,high school,2,hiking,4597,rural,247.0,66,winter,1,0,0
30.0,non-binary,39425,doctorate,5,hiking,3977,suburban,112.0,251,summer,1,1,1
,male,74406,bachelor,4,hiking,2800,rural,82.0,200,spring,1,1,1
59.0,female,85650,bachelor,2,skiing,1909,urban,85.0,193,winter,0,0,1
34.0,female,50909,doctorate,4,swimming,3553,urban,5.0,135,fall,1,1,0
,male,118343,high school,1,sunbathing,649,urban,267.0,6,fall,0,1,0
34.0,non-binary,105425,high school,4,sunbathing,3403,rural,228.0,24,spring,1,0,0
67.0,non-binary,114119,bachelor,7,skiing,1621,urban,147.0,246,fall,1,0,1
41.0,non-binary,51700,master,5,hiking,2568,urban,4.0,250,summer,0,0,1
19.0,non-binary,102456,high school,7,skiing,2306,urban,187.0,159,fall,1,0,0
,female,82072,high school,7,swimming,2458,rural,110.0,90,winter,0,1,0
45.0,male,50469,high school,3,swimming,3542,urban,247.0,5,spring,1,1,0
36.0,female,30970,high school,8,skiing,1346,rural,208.0,211,spring,0,0,1
50.0,male,91615,doctorate,2,skiing,4963,rural,79.0,35,spring,0,1,0
38.0,male,27522,master,3,skiing,3100,rural,136.0,212,summer,1,0,1
27.0,non-binary,106571,master,3,sunbathing,3592,suburban,235.0,53,winter,0,1,0
63.0,non-binary,54816,doctorate,9,swimming,4489,urban,219.0,249,spring,1,1,0
62.0,male,74864,high school,1,swimming,3117,suburban,255.0,243,summer,0,1,0
26.0,male,33188,high school,2,skiing,4593,suburban,151.0,92,winter,0,1,0
,male,25547,bachelor,5,skiing,2878,urban,277.0,288,fall,1,1,1
23.0,female,41817,high school,5,skiing,1857,rural,,146,summer,0,1,0
68.0,male,101503,high school,8,sunbathing,704,rural,211.0,186,spring,1,0,0
59.0,female,115121,bachelor,5,skiing,2752,urban,45.0,296,fall,1,1,1
52.0,male,27468,master,4,sunbathing,2738,rural,18.0,198,winter,0,1,0
35.0,non-binary,27609,doctorate,0,swimming,4103,suburban,69.0,208,summer,1,1,0
,male,101576,doctorate,4,sunbathing,3189,suburban,186.0,75,winter,0,0,0
,male,107202,doctorate,1,hiking,1360,rural,169.0,187,summer,1,0,1
42.0,female,91331,bachelor,5,sunbathing,2515,urban,152.0,217,spring,1,0,0
28.0,male,56393,doctorate,2,skiing,3858,suburban,229.0,62,summer,1,1,0
27.0,female,101609,high school,8,skiing,4552,rural,25.0,143,fall,1,0,1
34.0,female,40481,master,7,hiking,2825,urban,200.0,54,winter,1,1,0
53.0,non-binary,43313,high school,1,hiking,3146,suburban,214.0,253,winter,0,0,1
43.0,non-binary,31426,doctorate,4,sunbathing,2292,urban,124.0,10,fall,1,1,0
48.0,non-binary,95029,master,9,hiking,2340,urban,84.0,213,spring,1,0,1
49.0,non-binary,90454,bachelor,7,sunbathing,552,rural,121.0,208,summer,1,0,0
38.0,female,85348,bachelor,5,swimming,4526,suburban,64.0,226,spring,1,1,0
35.0,male,100535,doctorate,9,sunbathing,3957,suburban,241.0,10,winter,0,1,0
35.0,female,26175,high school,9,hiking,3308,rural,16.0,81,summer,0,1,1
18.0,non-binary,110096,high school,4,swimming,4648,suburban,238.0,190,fall,0,0,0
31.0,male,82561,bachelor,9,swimming,4807,rural,7.0,117,fall,1,0,0
25.0,female,69380,doctorate,8,sunbathing,1505,urban,126.0,47,fall,0,0,0
19.0,male,31632,high school,2,hiking,585,urban,33.0,258,fall,1,1,1
68.0,female,20777,master,1,sunbathing,4645,suburban,190.0,39,summer,1,0,0
32.0,male,116726,bachelor,2,sunbathing,3116,rural,202.0,244,summer,0,0,0
51.0,male,53138,bachelor,3,sunbathing,2742,rural,275.0,281,fall,1,1,0
,non-binary,36485,doctorate,2,swimming,2340,urban,52.0,270,fall,0,0,0
18.0,non-binary,72394,bachelor,7,sunbathing,2900,suburban,277.0,214,winter,0,0,0
68.0,male,75540,,0,hiking,1401,rural,,230,winter,1,1,1
38.0,male,24684,doctorate,4,sunbathing,4218,urban,123.0,128,fall,1,1,0
59.0,non-binary,39146,doctorate,1,hiking,2162,urban,,16,summer,1,0,0
18.0,female,27138,master,7,sunbathing,3022,suburban,111.0,258,spring,0,0,0
49.0,male,104103,doctorate,2,sunbathing,4420,suburban,101.0,41,spring,1,0,0
37.0,female,94505,bachelor,0,swimming,1236,rural,156.0,23,summer,0,0,0
64.0,non-binary,69630,high school,9,sunbathing,4788,suburban,,125,winter,0,1,0
53.0,male,27626,doctorate,9,swimming,2749,rural,31.0,104,spring,0,0,0
56.0,female,111044,master,1,skiing,565,urban,151.0,294,fall,0,1,1
47.0,non-binary,110116,master,6,skiing,4713,suburban,252.0,152,fall,1,1,0
24.0,male,60882,master,1,hiking,1374,rural,220.0,116,spring,1,0,0
39.0,female,74958,,3,skiing,1877,urban,221.0,24,winter,1,0,0
,male,86310,high school,2,sunbathing,1324,urban,151.0,239,fall,1,1,0
62.0,female,93222,high school,9,skiing,2795,suburban,57.0,222,winter,1,1,1
27.0,female,84511,bachelor,6,sunbathing,1385,suburban,1.0,264,winter,0,1,0
25.0,male,46022,doctorate,5,sunbathing,3026,rural,,188,spring,0,0,0
44.0,non-binary,38787,master,3,skiing,1014,suburban,272.0,266,spring,0,0,0
27.0,male,59665,high school,3,sunbathing,2132,urban,169.0,180,summer,0,0,0
31.0,non-binary,23253,master,8,swimming,1559,urban,175.0,117,spring,1,1,0
63.0,female,47909,bachelor,5,sunbathing,3553,rural,101.0,2,fall,0,0,0
69.0,female,88564,master,3,hiking,4553,rural,217.0,119,spring,0,1,0
28.0,female,82528,master,5,swimming,2481,urban,246.0,135,summer,1,1,0
23.0,non-binary,50721,bachelor,8,swimming,2201,suburban,260.0,228,spring,0,1,0
38.0,female,86114,master,7,sunbathing,4161,rural,,119,winter,0,1,0
50.0,male,28294,high school,0,hiking,4187,suburban,66.0,224,summer,1,1,1
36.0,female,85249,high school,4,swimming,2587,urban,152.0,253,summer,0,1,0
56.0,non-binary,37677,high school,9,hiking,1716,urban,189.0,135,fall,0,0,0
41.0,non-binary,83736,,1,skiing,3261,urban,185.0,101,summer,1,1,0
35.0,male,57208,master,7,swimming,1354,rural,254.0,113,spring,0,0,0
52.0,male,43524,bachelor,5,swimming,4706,rural,191.0,15,winter,0,0,0
69.0,non-binary,38404,bachelor,5,hiking,785,suburban,248.0,98,summer,0,1,0
60.0,non-binary,113311,doctorate,3,swimming,683,urban,,176,summer,0,1,0
54.0,male,71406,doctorate,9,hiking,3227,urban,30.0,287,fall,0,0,1
36.0,male,65608,high school,6,skiing,2458,rural,146.0,198,spring,1,1,1
41.0,male,99559,bachelor,5,hiking,4299,suburban,289.0,0,fall,1,0,0
51.0,male,89881,doctorate,6,swimming,1046,urban,103.0,161,spring,0,1,0
39.0,non-binary,104277,doctorate,4,sunbathing,4293,suburban,232.0,114,fall,0,0,0
21.0,female,76961,high school,7,hiking,3881,rural,42.0,215,spring,1,0,1
27.0,non-binary,87196,master,5,swimming,1155,rural,156.0,13,summer,0,1,0
19.0,male,72569,master,6,swimming,739,urban,59.0,145,winter,0,0,0
25.0,non-binary,66481,master,5,swimming,925,urban,45.0,229,fall,0,0,0
50.0,male,67633,master,7,hiking,2892,suburban,238.0,142,winter,1,0,0
55.0,non-binary,75442,doctorate,1,hiking,3951,urban,80.0,219,spring,1,0,1
60.0,male,32122,bachelor,1,skiing,2388,suburban,74.0,250,fall,0,1,1
45.0,male,81332,master,1,swimming,2050,rural,14.0,21,spring,1,1,0
27.0,non-binary,24310,doctorate,3,skiing,4908,rural,79.0,45,spring,0,0,0
62.0,male,48605,high school,0,sunbathing,4719,suburban,234.0,120,spring,1,0,0
18.0,female,46794,high school,0,swimming,1426,rural,25.0,172,fall,0,0,0
51.0,male,27006,doctorate,2,swimming,2390,rural,108.0,108,winter,0,0,0
20.0,male,39769,bachelor,3,hiking,2766,suburban,111.0,268,summer,1,0,1
26.0,male,23106,high school,7,skiing,4891,urban,193.0,223,fall,1,0,1
22.0,female,97038,,5,swimming,4719,suburban,,275,winter,1,0,0
59.0,non-binary,78142,bachelor,3,sunbathing,2660,rural,92.0,123,spring,0,0,0
,female,38252,bachelor,8,sunbathing,3393,suburban,32.0,66,winter,1,1,0
29.0,female,40713,bachelor,7,hiking,4359,suburban,65.0,30,summer,1,1,0
35.0,female,43762,bachelor,7,sunbathing,1476,urban,155.0,49,fall,1,0,0
38.0,non-binary,28329,,0,swimming,597,suburban,298.0,210,spring,1,0,0
38.0,male,86095,bachelor,5,swimming,1997,urban,201.0,260,fall,1,0,0
18.0,female,104804,high school,7,hiking,1924,urban,21.0,69,spring,0,1,1
20.0,male,42782,bachelor,5,hiking,1346,suburban,57.0,121,winter,1,0,1
22.0,female,62815,master,2,hiking,4928,rural,0.0,262,winter,1,1,1
42.0,female,58254,bachelor,3,hiking,1257,urban,295.0,67,summer,0,1,0
66.0,female,50375,bachelor,8,hiking,1182,suburban,90.0,251,spring,1,0,1
25.0,female,103019,master,7,sunbathing,3109,urban,59.0,62,fall,0,0,0
34.0,female,69900,doctorate,8,hiking,4910,rural,97.0,133,fall,0,1,1
26.0,female,83272,master,1,sunbathing,1575,rural,,295,winter,1,0,0
49.0,non-binary,25593,master,5,swimming,2226,rural,66.0,249,spring,0,0,0
,male,43342,,9,sunbathing,3154,suburban,61.0,224,winter,0,0,0
66.0,male,44746,master,7,swimming,4379,urban,297.0,13,spring,1,0,0
57.0,non-binary,79199,doctorate,3,swimming,1752,rural,120.0,294,summer,0,0,0
38.0,female,48558,bachelor,3,skiing,1385,suburban,296.0,37,fall,0,0,0
24.0,non-binary,71228,master,1,sunbathing,4966,urban,256.0,253,summer,0,0,0
24.0,non-binary,95933,doctorate,1,hiking,869,rural,76.0,114,winter,0,0,1
64.0,non-binary,69692,high school,4,swimming,2269,urban,154.0,38,summer,0,1,0
56.0,male,92443,high school,2,hiking,791,urban,174.0,247,fall,1,0,1
44.0,non-binary,90106,bachelor,0,sunbathing,3609,rural,166.0,13,spring,0,1,0
25.0,female,61166,master,6,sunbathing,2022,suburban,86.0,14,fall,1,1,0
26.0,non-binary,70659,doctorate,9,skiing,2873,urban,179.0,95,summer,1,1,0
45.0,male,102267,master,2,sunbathing,1312,urban,125.0,43,winter,1,0,0
32.0,male,50159,high school,0,hiking,4478,rural,92.0,222,fall,0,1,1
19.0,female,96745,master,3,swimming,4761,urban,42.0,34,winter,0,0,0
24.0,non-binary,68929,master,7,swimming,1483,suburban,138.0,105,summer,1,0,0
64.0,female,70622,doctorate,9,hiking,3700,urban,8.0,257,summer,0,0,1
35.0,non-binary,119211,doctorate,1,swimming,643,urban,148.0,202,winter,1,0,0
39.0,female,41639,high school,8,hiking,1080,urban,212.0,128,winter,0,1,0
67.0,female,60564,master,4,sunbathing,2192,suburban,34.0,207,winter,1,1,0
27.0,female,95519,high school,1,hiking,2993,suburban,141.0,201,spring,1,1,1
67.0,male,97429,doctorate,0,swimming,4701,rural,188.0,271,summer,0,0,0
50.0,male,94079,doctorate,4,sunbathing,2093,rural,16.0,71,spring,0,0,0
,non-binary,46711,bachelor,3,swimming,530,urban,114.0,235,fall,0,1,0
20.0,male,108452,master,8,sunbathing,1713,suburban,141.0,6,fall,0,1,0
31.0,female,86706,bachelor,3,hiking,2532,suburban,15.0,238,fall,0,1,1
61.0,male,88682,doctorate,1,swimming,4690,urban,202.0,296,winter,0,0,0
63.0,male,67184,,6,swimming,519,urban,,151,winter,0,0,0
53.0,non-binary,33467,bachelor,2,sunbathing,3502,urban,163.0,241,fall,1,1,0
30.0,female,74551,high school,2,hiking,4584,suburban,108.0,74,winter,0,1,0
,male,56005,bachelor,5,hiking,1109,suburban,46.0,14,summer,0,1,0
33.0,male,50923,doctorate,4,hiking,2956,rural,199.0,30,fall,1,0,0
22.0,non-binary,46398,doctorate,2,hiking,1040,urban,221.0,51,fall,0,0,0
69.0,non-binary,53734,bachelor,3,skiing,4700,suburban,173.0,115,winter,1,1,0
42.0,female,93263,master,4,skiing,3094,suburban,211.0,176,summer,1,1,0
55.0,non-binary,71074,high school,6,sunbathing,2112,rural,115.0,85,summer,0,0,0
55.0,female,106489,doctorate,1,hiking,1192,urban,38.0,266,summer,0,0,1
67.0,female,28935,master,5,sunbathing,2281,suburban,22.0,63,winter,0,1,0
55.0,male,62754,high school,3,skiing,3949,urban,269.0,123,spring,1,0,0
56.0,male,86332,bachelor,4,sunbathing,956,rural,248.0,232,summer,0,0,0
65.0,male,111367,bachelor,4,sunbathing,3927,rural,22.0,169,fall,0,0,0
58.0,male,67211,high school,9,skiing,4992,rural,50.0,120,spring,0,0,1
43.0,male,46412,doctorate,7,swimming,3025,rural,169.0,121,spring,0,1,0
30.0,female,36276,high school,9,skiing,1057,suburban,181.0,26,winter,1,0,0
61.0,male,114640,high school,4,sunbathing,3501,urban,224.0,100,summer,0,1,0
68.0,male,104912,high school,9,hiking,4750,suburban,267.0,66,summer,1,0,0
43.0,male,110618,master,4,sunbathing,1439,urban,297.0,11,fall,0,0,0
18.0,female,76565,high school,1,sunbathing,2217,urban,209.0,128,summer,1,1,0
25.0,non-binary,98812,high school,4,hiking,2506,suburban,85.0,266,winter,1,1,1
21.0,non-binary,97549,doctorate,0,sunbathing,3281,suburban,164.0,45,spring,0,0,0
38.0,male,75001,high school,9,swimming,1239,urban,5.0,182,spring,0,1,0
39.0,non-binary,52591,bachelor,0,swimming,4238,suburban,207.0,108,fall,0,1,0
68.0,female,104810,doctorate,3,swimming,3933,suburban,22.0,211,fall,0,0,0
54.0,male,106373,master,1,sunbathing,4258,suburban,227.0,37,summer,0,0,0
66.0,female,75833,doctorate,4,sunbathing,1788,suburban,,87,spring,0,0,0
20.0,female,113725,doctorate,2,sunbathing,3918,urban,142.0,266,spring,1,1,0
36.0,male,78089,bachelor,8,skiing,1448,rural,25.0,147,winter,1,0,1
18.0,female,61574,high school,8,hiking,1001,rural,115.0,5,fall,1,1,0
,male,40603,doctorate,5,sunbathing,1491,urban,186.0,175,spring,0,0,0
40.0,female,96744,doctorate,1,sunbathing,4091,suburban,92.0,252,summer,0,1,0
50.0,non-binary,48821,master,4,swimming,2577,urban,260.0,298,summer,0,0,0
69.0,non-binary,75679,bachelor,1,skiing,4900,urban,16.0,241,spring,1,1,1
58.0,non-binary,85513,doctorate,7,hiking,2995,rural,181.0,196,summer,0,0,1
40.0,female,119227,master,8,hiking,4243,rural,72.0,274,summer,1,0,1
22.0,male,110571,doctorate,4,swimming,1412,suburban,233.0,249,summer,1,1,0
,non-binary,55519,bachelor,7,hiking,4459,rural,267.0,167,spring,1,1,0
23.0,male,35314,high school,6,hiking,1970,suburban,104.0,281,winter,0,1,1
,non-binary,51467,high school,5,sunbathing,1562,rural,146.0,189,fall,1,0,0
39.0,non-binary,91058,,6,skiing,1140,suburban,293.0,95,spring,1,0,0
66.0,female,116942,high school,8,hiking,1219,suburban,,154,spring,0,1,1
30.0,non-binary,94341,,0,hiking,1054,urban,247.0,112,fall,0,1,0
29.0,male,40142,doctorate,0,hiking,3432,suburban,223.0,160,fall,1,1,0
21.0,male,76147,master,3,swimming,1582,rural,61.0,153,spring,0,1,0
25.0,non-binary,39503,high school,2,skiing,4010,suburban,216.0,98,spring,1,1,0
54.0,male,77110,high school,8,skiing,3463,suburban,263.0,199,fall,0,1,0
48.0,male,31604,doctorate,9,swimming,1441,suburban,17.0,234,winter,0,0,0
54.0,male,72190,doctorate,8,swimming,1819,suburban,228.0,162,winter,0,1,0
62.0,male,87972,bachelor,8,sunbathing,1247,urban,78.0,140,winter,1,0,0
43.0,male,111463,doctorate,6,hiking,3637,urban,219.0,101,winter,0,1,0
60.0,non-binary,24650,high school,9,swimming,1776,suburban,59.0,190,winter,0,1,0
25.0,male,100761,master,0,skiing,4498,suburban,,298,winter,0,1,1
57.0,male,63108,doctorate,6,swimming,4086,urban,16.0,99,fall,1,0,0
50.0,non-binary,28731,master,9,skiing,3321,urban,134.0,6,summer,1,0,0
62.0,female,37993,doctorate,9,skiing,3852,suburban,33.0,143,spring,1,0,1
,male,114213,doctorate,8,skiing,1056,rural,281.0,297,spring,1,0,1
22.0,female,59661,doctorate,7,skiing,2819,rural,30.0,136,winter,1,0,1
45.0,female,104499,doctorate,4,sunbathing,2620,suburban,137.0,251,winter,0,0,0
57.0,non-binary,103523,doctorate,5,hiking,2897,rural,294.0,184,fall,0,1,0
34.0,female,74125,doctorate,8,sunbathing,2287,suburban,,65,fall,0,0,0
40.0,female,91198,bachelor,6,hiking,1075,urban,27.0,200,fall,0,1,1
62.0,female,56017,high school,5,hiking,2999,suburban,135.0,107,spring,1,0,0
26.0,non-binary,25587,bachelor,1,skiing,1131,rural,13.0,197,summer,0,1,1
19.0,male,72266,high school,4,skiing,3780,suburban,181.0,130,winter,1,0,0
49.0,non-binary,88440,bachelor,6,sunbathing,1366,rural,295.0,145,winter,0,0,0
68.0,non-binary,116139,,2,sunbathing,3596,suburban,5.0,286,fall,0,0,0
69.0,non-binary,94287,high school,1,skiing,3538,urban,6.0,3,summer,0,1,0
66.0,male,109811,doctorate,4,skiing,4588,suburban,179.0,160,winter,1,1,0
48.0,female,57608,bachelor,5,swimming,1543,urban,72.0,162,spring,0,1,0
24.0,male,26260,doctorate,5,skiing,1539,rural,184.0,281,spring,1,0,1
,female,39434,doctorate,5,swimming,3276,suburban,255.0,204,fall,1,1,0
20.0,male,56318,high school,6,hiking,3083,urban,,161,summer,0,0,0
68.0,non-binary,33000,doctorate,8,hiking,3033,urban,284.0,252,fall,0,0,0
68.0,non-binary,81478,bachelor,6,hiking,3051,suburban,74.0,67,summer,0,1,0
